
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 75, col 14, Error - Using Chinese characters: '🔧 隐藏' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 76, col 14, Error - Using Chinese characters: '📊  三种' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 77, col 14, Error - Using Chinese characters: '✅ 我们' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 78, col 14, Error - Using Chinese characters: '💻 完整' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 79, col 14, Error - Using Chinese characters: '📐 布局' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 81, col 14, Error - Using Chinese characters: '✅ 优势' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 82, col 14, Error - Using Chinese characters: '🎯 集成' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 83, col 14, Error - Using Chinese characters: '📊 性能' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 84, col 14, Error - Using Chinese characters: '✅ 检查' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 85, col 14, Error - Using Chinese characters: '📚 相关' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 86, col 14, Error - Using Chinese characters: '🎉  最终' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 89, col 14, Error - Using Chinese characters: '🔄 执行' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 90, col 16, Error - Using Chinese characters: '📝 问题背景' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 91, col 14, Error - Using Chinese characters: '🎯 设计' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 92, col 14, Error - Using Chinese characters: '🏗️ 架构' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\apps\docs-app\scripts\bulk-fix-emoji.ts: line 93, col 14, Error - Using Chinese characters: '⭐ 关键' (i18n/no-chinese-character)
