
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\line\basic\composables\useLineChart.ts: line 50, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\basic\composables\usePieChart.ts: line 43, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\basic\composables\usePieChart.ts: line 49, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\basic\composables\usePieChart.ts: line 54, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\ring\composables\useRingChart.ts: line 78, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\ring\composables\useRingChart.ts: line 84, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\pie\ring\composables\useRingChart.ts: line 89, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\radar\basic\composables\useRadarChart.ts: line 45, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\radar\basic\composables\useRadarChart.ts: line 51, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\radar\basic\composables\useRadarChart.ts: line 56, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\scatter\basic\composables\useScatterChart.ts: line 42, col 20, Error - Using Chinese characters: '保存为图片' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\scatter\basic\composables\useScatterChart.ts: line 48, col 20, Error - Using Chinese characters: '数据视图' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\charts\scatter\basic\composables\useScatterChart.ts: line 53, col 20, Error - Using Chinese characters: '还原' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\form\composables\useFormActions.ts: line 227, col 24, Error - Using Chinese characters: 请输入 (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\form\index.vue: line 325, col 32, Error - Using Chinese characters: '查看更多' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\form\index.vue: line 325, col 41, Error - Using Chinese characters: '收起内容' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\form\index.vue: line 402, col 40, Error - Using Chinese characters: '保存' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\form\index.vue: line 407, col 41, Error - Using Chinese characters: '关闭' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupActions.ts: line 51, col 16, Error - Using Chinese characters: '此操作将会删除选择的数据，是否继续？' (i18n/no-chine
se-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupActions.ts: line 51, col 38, Error - Using Chinese characters: '提示' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupActions.ts: line 60, col 34, Error - Using Chinese characters: '删除成功' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupDrag.ts: line 16, col 26, Error - Using Chinese characters: '排序已保存' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupMenu.ts: line 53, col 51, Error - Using Chinese characters: '编辑' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupMenu.ts: line 54, col 53, Error - Using Chinese characters: '删除' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupMenu.ts: line 55, col 36, Error - Using Chinese characters: '添加子项' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\composables\useViewGroupMenu.ts: line 57, col 21, Error - Using Chinese characters: 右键菜单:  (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\common\view-group\index.vue: line 237, col 19, Error - Using Chinese characters: '加载右侧数据失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\basic\btc-avatar\index.vue: line 160, col 22, Error - Using Chinese characters: '上传文件大小不能超过 5MB!' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\basic\btc-avatar\index.vue: line 167, col 22, Error - Using Chinese characters: '请选择图片文件!' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\basic\btc-avatar\index.vue: line 180, col 23, Error - Using Chinese characters: '上传响应格式错误：未找到 url 字段' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\basic\btc-avatar\index.vue: line 188, col 19, Error - Using Chinese characters: '上传失败:' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\basic\btc-avatar\index.vue: line 189, col 40, Error - Using Chinese characters: '上传失败' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 293, col 11, Error - Using Chinese characters: '数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 34, Error - Using Chinese characters: '周一' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 40, Error - Using Chinese characters: '周二' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 46, Error - Using Chinese characters: '周三' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 52, Error - Using Chinese characters: '周四' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 58, Error - Using Chinese characters: '周五' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 64, Error - Using Chinese characters: '周六' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 297, col 70, Error - Using Chinese characters: '周日' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 302, col 11, Error - Using Chinese characters: '销售额' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 307, col 11, Error - Using Chinese characters: '利润' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 328, col 39, Error - Using Chinese characters: '产品A' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 328, col 46, Error - Using Chinese characters: '产品B' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 328, col 53, Error - Using Chinese characters: '产品C' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 328, col 60, Error - Using Chinese characters: '产品D' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 328, col 67, Error - Using Chinese characters: '产品E' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 333, col 11, Error - Using Chinese characters: '数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 40, Error - Using Chinese characters: '一月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 46, Error - Using Chinese characters: '二月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 52, Error - Using Chinese characters: '三月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 58, Error - Using Chinese characters: '四月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 64, Error - Using Chinese characters: '五月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 70, Error - Using Chinese characters: '六月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 337, col 76, Error - Using Chinese characters: '七月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 342, col 11, Error - Using Chinese characters: '数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 40, Error - Using Chinese characters: '一月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 46, Error - Using Chinese characters: '二月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 52, Error - Using Chinese characters: '三月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 58, Error - Using Chinese characters: '四月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 64, Error - Using Chinese characters: '五月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 70, Error - Using Chinese characters: '六月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 347, col 76, Error - Using Chinese characters: '七月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 352, col 11, Error - Using Chinese characters: '销售额' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 357, col 11, Error - Using Chinese characters: '利润' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 39, Error - Using Chinese characters: '1月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 45, Error - Using Chinese characters: '2月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 51, Error - Using Chinese characters: '3月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 57, Error - Using Chinese characters: '4月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 63, Error - Using Chinese characters: '5月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 362, col 69, Error - Using Chinese characters: '6月' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 368, col 11, Error - Using Chinese characters: '数据' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 372, col 40, Error - Using Chinese characters: '产品A' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 372, col 47, Error - Using Chinese characters: '产品B' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 372, col 54, Error - Using Chinese characters: '产品C' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 372, col 61, Error - Using Chinese characters: '产品D' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 372, col 68, Error - Using Chinese characters: '产品E' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 377, col 11, Error - Using Chinese characters: '系列1' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 382, col 11, Error - Using Chinese characters: '系列2' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 387, col 40, Error - Using Chinese characters: '类目1' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 387, col 47, Error - Using Chinese characters: '类目2' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 387, col 54, Error - Using Chinese characters: '类目3' (i18n/no-chinese-character)
C:\Users\mlu\Desktop\btc-shopflow\btc-shopflow-monorepo\packages\shared-components\src\components\data\btc-chart-demo\index.vue: line 392, col 11, Error - Using Chinese characters: '系列1' (i18n/no-chinese-character)
